 lilj_1sub                 SWAT+ Nov 30 2021    MODULAR Rev 2020.60.5.4                                   
  jday   mon   day    yr    unit  gis_id  name                  precip     snofall      snomlt    surq_gen        latq    wateryld        perc          et     ecanopy      eplant       esoil   surq_cont          cn     sw_init    sw_final      sw_ave      sw_300    sno_init   sno_final     snopack         pet       qtile         irr  surq_runon  latq_runon    overbank    surq_cha    surq_res     surq_ls    latq_cha    latq_res     latq_ls     gwtranq       satex  satex_chan   sw_change     lagsurf     laglatq   lagsatex 
                                                                  mm            mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm         ---          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm
   366    12    31  2012      35      35  hru35               1046.174       0.000       0.000     388.296      25.476     413.772     110.794     480.155      39.134     375.023      65.997     388.296      85.815     186.487     513.979     439.607      81.399       0.000       0.000       0.000    1300.586       0.000       0.000       0.000       0.000       0.000     388.296       0.000       0.000      25.476       0.000       0.000       0.000       0.000       0.000      36.244       1.154      60.884       0.000
   366    12    31  2012      36      36  hru36               1046.174       0.000       0.000      27.296       2.476      29.772     543.929     458.256      39.134     375.022      44.100      27.296      60.734     167.904     295.379     251.350      20.590       0.000       0.000       0.000    1300.585       0.000       0.000       0.000       0.000       0.000      27.296       0.000       0.000       2.476       0.000       0.000       0.000       0.000       0.000      14.108       0.054       5.917       0.000
   366    12    31  2012      37      37  hru37               1046.174       0.000       0.000      25.648       0.801      26.450     512.452     494.390      39.134     370.400      84.855      25.648      60.507     137.433     253.829     188.818      17.065       0.000       0.000       0.000    1300.592       0.000       0.000       0.000       0.000       0.000      25.648       0.000       0.000       0.801       0.000       0.000       0.000       0.000       0.000      12.882       0.072       1.915       0.000
   366    12    31  2012      38      38  hru38               1046.174       0.000       0.000      25.957       0.703      26.660      73.240     937.666       9.809     364.043     563.813      25.956      60.475      16.877      94.663      80.666       6.961       0.000       0.000       0.000    1300.635       0.000       0.000       0.000       0.000       0.000      25.956       0.000       0.000       0.703       0.000       0.000       0.000       0.000       0.000       8.609       0.062       1.680       0.000
   366    12    31  2012      39      39  hru39               1046.174       0.000       0.000      25.949       0.138      26.087     130.726     876.805      10.363     408.667     457.774      25.948      60.475      17.728     131.190     124.002       8.460       0.000       0.000       0.000    1300.576       0.000       0.000       0.000       0.000       0.000      25.948       0.000       0.000       0.138       0.000       0.000       0.000       0.000       0.000      12.557       0.323       0.330       0.000
   366    12    31  2012      40      40  hru40               1046.174       0.000       0.000       7.485       0.634       8.119      57.065     972.661      77.065     805.577      90.019       7.485      50.071      10.552      85.817      65.337       6.272       0.000       0.000       0.000    1300.622       0.000       0.000       0.000       0.000       0.000       7.485       0.000       0.000       0.634       0.000       0.000       0.000       0.000       0.000       8.330       0.428       1.515       0.000
   366    12    31  2012      41      41  hru41               1046.174       0.000       0.000      53.084       0.564      53.647       6.845     977.284      77.047     819.445      80.793      53.083      68.429      10.239      86.122      70.275       8.212       0.000       0.000       0.000    1300.621       0.000       0.000       0.000       0.000       0.000      53.083       0.000       0.000       0.564       0.000       0.000       0.000       0.000       0.000       8.398       3.763       1.348       0.000
   366    12    31  2012      42      42  hru42               1046.174       0.000       0.000       7.484       0.131       7.615      22.681    1025.457      77.186     832.553     115.718       7.484      50.111      11.640      90.241      79.754      15.341       0.000       0.000       0.000    1300.510       0.000       0.000       0.000       0.000       0.000       7.484       0.000       0.000       0.131       0.000       0.000       0.000       0.000       0.000       8.699       1.047       0.313       0.000
   366    12    31  2012      43      43  hru43               1046.174       0.000       0.000     819.414       0.000     819.414       0.000     226.253       0.000       0.000     226.253     819.414      98.833      66.439      71.021      67.430       0.990       0.000       0.000       0.000    1300.603       0.000       0.000       0.000       0.000       0.000     819.414       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.507       0.000       0.001       0.000
   366    12    31  2012      44      44  hru44               1046.174       0.000       0.000     819.414       0.000     819.414       0.000     226.255       0.000       0.000     226.255     819.414      98.833      36.639      41.207      37.630       0.858       0.000       0.000       0.000    1300.574       0.000       0.000       0.000       0.000       0.000     819.414       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.505       0.000       0.000       0.000
   366    12    31  2012      45      45  hru45               1046.174       0.000       0.000     819.414       0.000     819.414       0.000     226.262       0.000       0.000     226.262     819.414      98.833      84.085      88.591      85.021       0.990       0.000       0.000       0.000    1300.531       0.000       0.000       0.000       0.000       0.000     819.414       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.499       0.000       0.001       0.000
   366    12    31  2012      46      46  hru46               1046.174       0.000       0.000      81.017       4.273      85.289      29.656     930.601      56.256     855.622      18.723      81.016      68.081      62.921     127.715     173.110      19.873       0.000       0.000       0.000    1300.607       0.000       0.000       0.000       0.000       0.000      81.016       0.000       0.000       4.273       0.000       0.000       0.000       0.000       0.000       7.171      22.744      10.211       0.000
   366    12    31  2012      47      47  hru47               1046.174       0.000       0.000      11.853       1.839      13.693     210.083     815.625      56.252     744.074      15.299      11.853      46.891      63.135     127.398     112.304      11.090       0.000       0.000       0.000    1300.606       0.000       0.000       0.000       0.000       0.000      11.853       0.000       0.000       1.839       0.000       0.000       0.000       0.000       0.000       7.112       4.650       4.396       0.000
   366    12    31  2012      48      48  hru48               1046.174       0.000       0.000      36.554       1.613      38.167     113.813     894.372      56.256     818.287      19.829      36.554      60.143      62.818     127.583     155.612      17.204       0.000       0.000       0.000    1300.601       0.000       0.000       0.000       0.000       0.000      36.554       0.000       0.000       1.613       0.000       0.000       0.000       0.000       0.000       7.168      18.316       3.854       0.000
   366    12    31  2012      49      49  hru49               1046.174       0.000       0.000       1.768       1.014       2.782      63.645     971.356      90.415     878.388       2.553       1.768      40.483      12.163      87.989      67.996       6.436       0.000       0.000       0.000    1300.544       0.000       0.000       0.000       0.000       0.000       1.768       0.000       0.000       1.014       0.000       0.000       0.000       0.000       0.000       8.392       0.540       2.423       0.000
