 lilj_1sub                 SWAT+ Nov 30 2021    MODULAR Rev 2020.60.5.4                                   
  jday   mon   day    yr    unit  gis_id  name                  precip     snofall      snomlt    surq_gen        latq    wateryld        perc          et     ecanopy      eplant       esoil   surq_cont          cn     sw_init    sw_final      sw_ave      sw_300    sno_init   sno_final     snopack         pet       qtile         irr  surq_runon  latq_runon    overbank    surq_cha    surq_res     surq_ls    latq_cha    latq_res     latq_ls     gwtranq       satex  satex_chan   sw_change     lagsurf     laglatq   lagsatex 
                                                                  mm            mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm         ---          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm
   366    12    31  2004      44      44  hru44                840.660       0.000       0.000     589.679       0.000     589.679       0.000     250.664       0.000       0.000     250.664     589.679      98.833      36.639      36.957      37.821       1.026       0.000       0.000       0.000    1231.024       0.000       0.000       0.000       0.000       0.000     589.679       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.318       0.000       0.000       0.000
   366    12    31  2004      45      45  hru45                840.660       0.000       0.000     589.679       0.000     589.679       0.000     250.538       0.000       0.000     250.538     589.679      98.833      84.085      84.527      85.218       1.182       0.000       0.000       0.000    1230.974       0.000       0.000       0.000       0.000       0.000     589.679       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.443       0.000       0.002       0.000
   366    12    31  2004      46      46  hru46                840.660       0.000       0.000      31.662       0.155      31.817       3.137     756.986      79.174     650.493      27.318      31.662      67.016      62.921     111.640      65.087       8.661       0.000       0.000       0.000    1231.063       0.000       0.000       0.000       0.000       0.000      31.662       0.000       0.000       0.155       0.000       0.000       0.000       0.000       0.000      48.719       8.920       0.372       0.000
   366    12    31  2004      47      47  hru47                840.660       0.000       0.000       0.941       0.247       1.188       7.239     763.174      79.174     649.734      34.266       0.941      46.817      63.135     132.192      72.473       7.564       0.000       0.000       0.000    1231.062       0.000       0.000       0.000       0.000       0.000       0.941       0.000       0.000       0.247       0.000       0.000       0.000       0.000       0.000      69.057       0.382       0.590       0.000
   366    12    31  2004      48      48  hru48                840.660       0.000       0.000      14.230       0.078      14.308      17.345     748.673      79.174     641.558      27.941      14.229      59.250      62.818     123.152      67.114       7.302       0.000       0.000       0.000    1231.057       0.000       0.000       0.000       0.000       0.000      14.229       0.000       0.000       0.078       0.000       0.000       0.000       0.000       0.000      60.335       7.370       0.187       0.000
   366    12    31  2004      49      49  hru49                840.660       0.000       0.000       0.000       0.252       0.253       0.000     796.511     114.406     672.977       9.129       0.000      40.483      12.163      56.059      27.524       4.915       0.000       0.000       0.000    1230.990       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.252       0.000       0.000       0.000       0.000       0.000      43.896       0.000       0.604       0.000
   365    12    31  2005       1       1  hru01               1092.880       0.000       0.000      48.116       0.284      48.400       0.000     928.615      16.964     428.854     482.798      48.115      60.475      61.847     177.712      57.105       6.640       0.000       0.000       0.000    1261.703       0.000       0.000       0.000       0.000       0.000      48.115       0.000       0.000       0.284       0.000       0.000       0.000       0.000       0.000     115.865       0.110       0.680       0.000
   365    12    31  2005       2       2  hru02               1092.880       0.000       0.000      48.398       0.299      48.697       0.000     973.554       8.391     348.598     616.565      48.398      60.475      82.944     153.573      77.226       6.652       0.000       0.000       0.000    1261.708       0.000       0.000       0.000       0.000       0.000      48.398       0.000       0.000       0.299       0.000       0.000       0.000       0.000       0.000      70.629       0.107       0.715       0.000
   365    12    31  2005       3       3  hru03               1092.880       0.000       0.000     135.174       0.081     135.256       3.978     911.728       8.391     359.908     543.428     135.174      76.250      99.239     141.158      93.366       8.029       0.000       0.000       0.000    1261.646       0.000       0.000       0.000       0.000       0.000     135.174       0.000       0.000       0.081       0.000       0.000       0.000       0.000       0.000      41.919       1.606       0.195       0.000
   365    12    31  2005       4       4  hru04               1092.880       0.000       0.000      89.369       0.107      89.475      42.730     927.272       8.391     375.426     543.455      89.368      69.887     115.501     148.903     107.077       6.939       0.000       0.000       0.000    1261.639       0.000       0.000       0.000       0.000       0.000      89.368       0.000       0.000       0.107       0.000       0.000       0.000       0.000       0.000      33.402       1.616       0.255       0.000
