 lilj_1sub                 SWAT+ Nov 30 2021    MODULAR Rev 2020.60.5.4                                   
  jday   mon   day    yr    unit  gis_id     name         lab_min_p        act_sta_p        act_nit_n        act_sta_n        org_lab_p         rsd_hs_c    rsd_nitrorg_n     rsd_laborg_p
                                                               kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha
   365    12    31  2007      27      27  hru27               0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000
   365    12    31  2007      28      28  hru28               0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000
   365    12    31  2007      29      29  hru29               0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000
   365    12    31  2007      30      30  hru30               0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000
   365    12    31  2007      31      31  hru31               0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000
   365    12    31  2007      32      32  hru32               0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000
   365    12    31  2007      33      33  hru33               0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000
   365    12    31  2007      34      34  hru34               0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000
   365    12    31  2007      35      35  hru35               0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000
   365    12    31  2007      36      36  hru36               0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000
   365    12    31  2007      37      37  hru37               0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000
   365    12    31  2007      38      38  hru38               0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000
   365    12    31  2007      39      39  hru39               0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000
   365    12    31  2007      40      40  hru40               0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000
   365    12    31  2007      41      41  hru41               0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000
   365    12    31  2007      42      42  hru42               0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000
   365    12    31  2007      43      43  hru43               0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000
   365    12    31  2007      44      44  hru44               0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000
   365    12    31  2007      45      45  hru45               0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000
   365    12    31  2007      46      46  hru46               0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000
   365    12    31  2007      47      47  hru47               0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000
   365    12    31  2007      48      48  hru48               0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000
   365    12    31  2007      49      49  hru49               0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000
   366    12    31  2008       1       1  hru01               0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000
   366    12    31  2008       2       2  hru02               0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000
   366    12    31  2008       3       3  hru03               0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000
   366    12    31  2008       4       4  hru04               0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000
   366    12    31  2008       5       5  hru05               0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000
   366    12    31  2008       6       6  hru06               0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000
   366    12    31  2008       7       7  hru07               0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000
   366    12    31  2008       8       8  hru08               0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000
   366    12    31  2008       9       9  hru09               0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000
   366    12    31  2008      10      10  hru10               0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000
   366    12    31  2008      11      11  hru11               0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000
   366    12    31  2008      12      12  hru12               0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000
   366    12    31  2008      13      13  hru13               0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000
   366    12    31  2008      14      14  hru14               0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000
   366    12    31  2008      15      15  hru15               0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000
   366    12    31  2008      16      16  hru16               0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000
   366    12    31  2008      17      17  hru17               0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000
   366    12    31  2008      18      18  hru18               0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000
   366    12    31  2008      19      19  hru19               0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000
   366    12    31  2008      20      20  hru20               0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000
   366    12    31  2008      21      21  hru21               0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000
   366    12    31  2008      22      22  hru22               0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000
   366    12    31  2008      23      23  hru23               0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000
   366    12    31  2008      24      24  hru24               0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000
   366    12    31  2008      25      25  hru25               0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000
   366    12    31  2008      26      26  hru26               0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000
   366    12    31  2008      27      27  hru27               0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000
   366    12    31  2008      28      28  hru28               0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000
   366    12    31  2008      29      29  hru29               0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000
   366    12    31  2008      30      30  hru30               0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000
   366    12    31  2008      31      31  hru31               0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000
   366    12    31  2008      32      32  hru32               0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000
   366    12    31  2008      33      33  hru33               0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000
   366    12    31  2008      34      34  hru34               0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000
   366    12    31  2008      35      35  hru35               0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000
   366    12    31  2008      36      36  hru36               0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000
   366    12    31  2008      37      37  hru37               0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000
   366    12    31  2008      38      38  hru38               0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000
   366    12    31  2008      39      39  hru39               0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000
   366    12    31  2008      40      40  hru40               0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000
   366    12    31  2008      41      41  hru41               0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000
   366    12    31  2008      42      42  hru42               0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000
   366    12    31  2008      43      43  hru43               0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000
   366    12    31  2008      44      44  hru44               0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000
   366    12    31  2008      45      45  hru45               0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000
   366    12    31  2008      46      46  hru46               0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000
   366    12    31  2008      47      47  hru47               0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000
   366    12    31  2008      48      48  hru48               0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000
   366    12    31  2008      49      49  hru49               0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000
   365    12    31  2009       1       1  hru01               0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000
   365    12    31  2009       2       2  hru02               0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000
   365    12    31  2009       3       3  hru03               0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000
   365    12    31  2009       4       4  hru04               0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000
   365    12    31  2009       5       5  hru05               0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000
   365    12    31  2009       6       6  hru06               0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000
   365    12    31  2009       7       7  hru07               0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000
   365    12    31  2009       8       8  hru08               0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000
   365    12    31  2009       9       9  hru09               0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000
   365    12    31  2009      10      10  hru10               0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000
