 FINAL_TRY                
  SWAT+ Jul 2 2024        MODULAR Rev 2024.61.0.1                               
  
                                                                            --YIELD (kg/ha)--
  jday   mon   day    yr    unit PLANTNM                         MASS          C           N           P
    67     3     8  1982     131    shrb                        0.000       0.000       0.000       0.000
    67     3     8  1982     132    shrb                        0.000       0.000       0.000       0.000
    67     3     8  1982     133    shrb                        0.000       0.000       0.000       0.000
    67     3     8  1982     134    shrb                        0.000       0.000       0.000       0.000
    67     3     8  1982     135    shrb                        0.000       0.000       0.000       0.000
    67     3     8  1982     136    shrb                        0.000       0.000       0.000       0.000
    67     3     8  1982     137    shrb                        0.000       0.000       0.000       0.000
    67     3     8  1982     138    shrb                        0.000       0.000       0.000       0.000
    67     3     8  1982     139    shrb                        0.000       0.000       0.000       0.000
    67     3     8  1982     140    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     141    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     142    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     143    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     144    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     145    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     146    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     147    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     148    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     149    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     150    agrl                        0.000       0.000       0.000       0.000
    67     3     8  1982     151    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     152    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     153    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     154    shrb                        0.000       0.000       0.000       0.000
    67     3     8  1982     155    shrb                        0.000       0.000       0.000       0.000
    67     3     8  1982     156    shrb                        0.000       0.000       0.000       0.000
    67     3     8  1982     157    shrb                        0.000       0.000       0.000       0.000
    67     3     8  1982     158    shrb                        0.000       0.000       0.000       0.000
    67     3     8  1982     159    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     160    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     161    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     162    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     163    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     164    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     165    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     166    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     167    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     168    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     169    agrl                        0.000       0.000       0.000       0.000
    67     3     8  1982     170    agrl                        0.000       0.000       0.000       0.000
    67     3     8  1982     171    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     172    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     173    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     174    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     175    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     176    shrb                        0.000       0.000       0.000       0.000
    67     3     8  1982     177    shrb                        0.000       0.000       0.000       0.000
    67     3     8  1982     178    shrb                        0.000       0.000       0.000       0.000
    67     3     8  1982     179    shrb                        0.000       0.000       0.000       0.000
    67     3     8  1982     180    shrb                        0.000       0.000       0.000       0.000
    67     3     8  1982     181    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     182    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     183    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     184    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     185    agrl                        0.000       0.000       0.000       0.000
    67     3     8  1982     186    shrb                        0.000       0.000       0.000       0.000
    67     3     8  1982     187    shrb                        0.000       0.000       0.000       0.000
    67     3     8  1982     188    shrb                        0.000       0.000       0.000       0.000
    67     3     8  1982     189    shrb                        0.000       0.000       0.000       0.000
    67     3     8  1982     190    shrb                        0.000       0.000       0.000       0.000
    67     3     8  1982     191    shrb                        0.000       0.000       0.000       0.000
    67     3     8  1982     192    shrb                        0.000       0.000       0.000       0.000
    67     3     8  1982     193    shrb                        0.000       0.000       0.000       0.000
    67     3     8  1982     194    shrb                        0.000       0.000       0.000       0.000
    67     3     8  1982     195    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     196    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     197    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     198    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     199    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     200    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     201    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     202    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     203    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     204    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     205    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     206    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     207    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     208    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     209    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     210    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     211    shrb                        0.000       0.000       0.000       0.000
    67     3     8  1982     212    shrb                        0.000       0.000       0.000       0.000
    67     3     8  1982     213    shrb                        0.000       0.000       0.000       0.000
    67     3     8  1982     214    shrb                        0.000       0.000       0.000       0.000
    67     3     8  1982     215    shrb                        0.000       0.000       0.000       0.000
    67     3     8  1982     216    shrb                        0.000       0.000       0.000       0.000
    67     3     8  1982     217    shrb                        0.000       0.000       0.000       0.000
    67     3     8  1982     218    shrb                        0.000       0.000       0.000       0.000
    67     3     8  1982     219    shrb                        0.000       0.000       0.000       0.000
    67     3     8  1982     220    shrb                        0.000       0.000       0.000       0.000
    67     3     8  1982     221    shrb                        0.000       0.000       0.000       0.000
    67     3     8  1982     222    shrb                        0.000       0.000       0.000       0.000
    67     3     8  1982     223    shrb                        0.000       0.000       0.000       0.000
    67     3     8  1982     224    shrb                        0.000       0.000       0.000       0.000
    67     3     8  1982     225    shrb                        0.000       0.000       0.000       0.000
    67     3     8  1982     226    shrb                        0.000       0.000       0.000       0.000
    67     3     8  1982     227    shrb                        0.000       0.000       0.000       0.000
    67     3     8  1982     228    shrb                        0.000       0.000       0.000       0.000
    67     3     8  1982     229    shrb                        0.000       0.000       0.000       0.000
    67     3     8  1982     230    shrb                        0.000       0.000       0.000       0.000
    67     3     8  1982     231    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     232    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     233    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     234    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     235    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     236    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     237    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     238    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     239    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     240    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     241    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     242    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     243    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     244    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     245    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     246    shrb                        0.000       0.000       0.000       0.000
    67     3     8  1982     247    shrb                        0.000       0.000       0.000       0.000
    67     3     8  1982     248    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     249    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     250    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     251    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     252    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     253    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     254    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     255    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     256    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     257    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     258    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     259    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     260    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     261    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     262    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     263    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     264    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     265    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     266    shrb                        0.000       0.000       0.000       0.000
    67     3     8  1982     267    shrb                        0.000       0.000       0.000       0.000
    67     3     8  1982     268    shrb                        0.000       0.000       0.000       0.000
    67     3     8  1982     269    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     270    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     271    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     272    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     273    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     274    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     275    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     276    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     277    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     278    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     279    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     280    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     281    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     282    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     283    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     284    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     285    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     286    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     287    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     288    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     289    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     290    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     291    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     292    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     293    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     294    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     295    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     296    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     297    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     298    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     299    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     300    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     301    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     302    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     303    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     304    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     305    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     306    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     307    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     308    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     309    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     310    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     311    frst                        0.000       0.000       0.000       0.000
