 Prueba3                   SWAT+ Jul 2 2024        MODULAR Rev 2024.61.0.1                                
  jday   mon   day    yr    unit  gis_id  name            grzn        grzp        lab_min_p   act_sta_p       fertn            fertp            fixn             denit            act_nit_n        act_sta_n        org_lab_p        rsd_nitorg_n     rsd_laborg_p    no3atmo          nh4atmo          nuptake          puptake          gwsoiln          gwsoilp      
                                                          kgha        kgha        kgha        kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha       
    67     3     8  1982      55      55  hru055         0.000       0.000       2.395       1.976            0.000            0.000            0.000           12.526           17.883           -3.802            3.039            0.522            0.099            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      56      56  hru056         0.000       0.000       2.335       1.988            0.000            0.000            0.000           12.673           17.872           -3.811            3.037            0.521            0.099            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      57      57  hru057         0.000       0.000       2.538       1.942            0.000            0.000            0.000           12.301           17.894           -3.786            3.041            0.523            0.099            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      58      58  hru058         0.000       0.000       2.393       1.977            0.000            0.000            0.000           12.518           17.882           -3.803            3.039            0.522            0.099            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      59      59  hru059         0.000       0.000       2.574       1.935            0.000            0.000            0.000           12.262           17.897           -3.781            3.042            0.524            0.100            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      60      60  hru060         0.000       0.000       2.535       1.943            0.000            0.000            0.000           12.321           17.893           -3.787            3.041            0.523            0.099            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      61      61  hru061         0.000       0.000       2.330       1.988            0.000            0.000            0.000           12.684           17.872           -3.812            3.037            0.521            0.099            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      62      62  hru062         0.000       0.000       2.392       1.977            0.000            0.000            0.000           12.537           17.883           -3.802            3.039            0.522            0.099            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      63      63  hru063         0.000       0.000       2.396       1.976            0.000            0.000            0.000           12.515           17.883           -3.803            3.039            0.522            0.099            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      64      64  hru064         0.000       0.000       2.552       1.939            0.000            0.000            0.000           12.273           17.896           -3.784            3.042            0.523            0.099            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      65      65  hru065         0.000       0.000       2.402       1.975            0.000            0.000            0.000           12.529           17.883           -3.802            3.039            0.522            0.099            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      66      66  hru066         0.000       0.000       2.673       1.917            0.000            0.000            0.000           12.270           17.896           -3.774            3.042            0.524            0.100            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      67      67  hru067         0.000       0.000       2.657       1.920            0.000            0.000            0.000           12.309           17.900           -3.771            3.042            0.525            0.100            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      68      68  hru068         0.000       0.000       2.690       1.914            0.000            0.000            0.000           12.317           17.898           -3.770            3.042            0.525            0.100            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      69      69  hru069         0.000       0.000       2.695       1.914            0.000            0.000            0.000           12.308           17.899           -3.769            3.042            0.525            0.100            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      70      70  hru070         0.000       0.000       2.731       1.908            0.000            0.000            0.000           12.342           17.898           -3.767            3.042            0.525            0.100            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      71      71  hru071         0.000       0.000       2.826       1.893            0.000            0.000            0.000           12.352           17.894           -3.762            3.042            0.526            0.100            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      72      72  hru072         0.000       0.000       2.818       1.895            0.000            0.000            0.000           12.372           17.895           -3.761            3.042            0.526            0.100            0.000            0.000            0.000            0.000            0.000            0.000
