 Prueba3                   SWAT+ Jul 2 2024        MODULAR Rev 2024.61.0.1                                
   jday   mon   day    yr   unit  gis_id  name                 sedyld     sedorgn     sedorgp     surqno3     lat3no3    surqsolp        usle     sedminp     tileno3     lchlabp    tilelabp      satexn
                                                                  tha        kgha        kgha        kgha        kgha        kgha        tons        kgha        kgha        kgha        kgha        kgha
     67     3     8  1982    122       0  rtu1220              269.514     624.792      70.062       0.492      21.870       0.686       0.000      27.829       0.000       0.357       0.000       0.000
     67     3     8  1982    123       0  rtu1230              239.791     596.701      66.912       0.500      19.806       0.735       0.000      27.627       0.000       0.357       0.000       0.000
     67     3     8  1982    124       0  rtu1240              108.567     350.615      39.314       0.578      16.607       1.367       0.000      20.494       0.000       0.357       0.000       0.000
     67     3     8  1982    125       0  rtu1250               50.609     172.377      19.329       0.634      19.463       1.877       0.000      10.610       0.000       0.357       0.000       0.000
     67     3     8  1982    126       0  rtu1260                7.808      40.666       4.559       0.665      11.765       2.236       0.000       3.209       0.000       0.357       0.000       0.000
     67     3     8  1982    127       0  rtu1270               68.228     243.898      27.346       0.606      10.509       1.666       0.000      15.671       0.000       0.357       0.000       0.000
     67     3     8  1982    128       0  rtu1280               54.886     147.764      15.928       0.574       5.176       1.817       0.000      13.033       0.000       1.009       0.000       0.000
     67     3     8  1982    129       0  rtu1290               88.761     222.764      24.004       0.538       8.069       1.520       0.000      17.972       0.000       1.156       0.000       0.000
     67     3     8  1982    130       0  rtu1300               39.562     139.531      15.735       0.685       5.933       2.093       0.000       7.670       0.000       1.254       0.000       0.000
     67     3     8  1982    131       0  rtu1310                8.358      48.639       5.487       0.597       9.417       1.920       0.000       3.591       0.000       1.586       0.000       0.000
     67     3     8  1982    132       0  rtu1320               87.203     284.381      31.886       0.593      10.016       1.569       0.000      17.275       0.000       0.357       0.000       0.000
     67     3     8  1982    133       0  rtu1330                6.460      37.621       4.244       0.609       7.795       1.953       0.000       2.774       0.000       1.591       0.000       0.000
     67     3     8  1982    134       0  rtu1340                8.812      45.926       5.149       0.665      13.250       2.221       0.000       3.623       0.000       0.357       0.000       0.000
     67     3     8  1982    135       0  rtu1350              136.809     368.082      41.275       0.570      17.836       1.345       0.000      18.244       0.000       0.357       0.000       0.000
