 Prueba3                   SWAT+ Jul 2 2024        MODULAR Rev 2024.61.0.1                                
        jday         mon         day          yr   name        type   objtyp      typ_no hyd_typ fraction              flo            sed           orgn           sedp            no3           solp           chla            nh3            no2           cbod            dox            san            sil            cla            sag            lag            grv           null
                                                                                                                     m^3/s           tons            kgN            kgP            kgN            kgP             kg            kgN            kgN             kg             kg           tons           tons           tons           tons           tons           tons           degc
          67           3           8        1982 rtu0170         ru      aqu           1 rhg   1.000000       81874.48      0.0000000E+00  0.0000000E+00  0.0000000E+00   2981.183      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   1.000065    
          67           3           8        1982 rtu0180         ru      sdc          18 tot   1.000000      1.1229951E+07   6658.126       56550.65       9552.253       18573.21       853.9029       43013.23      0.0000000E+00  0.0000000E+00  3.3768125E+09   1122758.      6.2383036E-04  6.2383036E-04  6.2383036E-04  6.2383036E-04  6.2383036E-04  0.0000000E+00   1.000000    
          67           3           8        1982 rtu0180         ru      aqu           2 rhg   1.000000       1870164.      0.0000000E+00  0.0000000E+00  0.0000000E+00   43987.79      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   1.000003    
          67           3           8        1982 rtu0190         ru      sdc          19 tot   1.000000      1.7737268E+07   44234.89       203375.6       32864.77       17311.00       1076.811       151819.1      0.0000000E+00  0.0000000E+00  1.5821353E+10   1234535.      1.2481245E-03  1.2481245E-03  1.2481245E-03  1.2481245E-03  1.2481245E-03  0.0000000E+00   1.000000    
          67           3           8        1982 rtu0190         ru      aqu           2 rhg   1.000000       1338895.      0.0000000E+00  0.0000000E+00  0.0000000E+00   36242.27      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   1.000004    
          67           3           8        1982 rtu0200         ru      sdc          20 tot   1.000000      1.4356100E+07   5537.434       29005.14       5537.863       8235.955       1029.062       17381.72      0.0000000E+00  0.0000000E+00  1.6153091E+09   713308.4      6.2377821E-04  6.2377821E-04  6.2377821E-04  6.2377821E-04  6.2377821E-04  0.0000000E+00   1.000000    
          67           3           8        1982 rtu0200         ru      aqu           2 rhg   1.000000       185334.3      0.0000000E+00  0.0000000E+00  0.0000000E+00   11197.46      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   1.000028    
          67           3           8        1982 rtu0210         ru      sdc          21 tot   1.000000      2.6759732E+07   16995.10       182534.0       29556.38       69363.68       2134.789       150930.9      0.0000000E+00  0.0000000E+00  1.1010234E+10   3719472.      3.0779280E-04  3.0779280E-04  3.0779280E-04  3.0779280E-04  3.0779280E-04  0.0000000E+00   1.000000    
          67           3           8        1982 rtu0210         ru      aqu           2 rhg   1.000000       7562407.      0.0000000E+00  0.0000000E+00  0.0000000E+00   168390.4      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   1.000001    
          67           3           8        1982 rtu0220         ru      sdc          22 tot   1.000000      4.0496084E+07   21492.03       234980.7       38036.07       95694.99       3297.178       198662.7      0.0000000E+00  0.0000000E+00  1.4078535E+10   5570620.      3.0350004E-04  3.0350004E-04  3.0350004E-04  3.0350004E-04  3.0350004E-04  0.0000000E+00   1.000000    
          67           3           8        1982 rtu0220         ru      aqu           2 rhg   1.000000      1.1425021E+07  0.0000000E+00  0.0000000E+00  0.0000000E+00   254395.6      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   1.000000    
          67           3           8        1982 rtu0230         ru      sdc          23 tot   1.000000      2.7340398E+07   10252.59       59807.02       11158.12       12127.30       2010.502       39065.58      0.0000000E+00  0.0000000E+00  3.4843494E+09   1693130.      6.2192971E-04  6.2192971E-04  6.2192971E-04  6.2192971E-04  6.2192971E-04  0.0000000E+00   1.000000    
          67           3           8        1982 rtu0230         ru      aqu           1 rhg   1.000000       2035788.      0.0000000E+00  0.0000000E+00  0.0000000E+00   74388.25      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   1.000003    
          67           3           8        1982 rtu0240         ru      sdc          24 tot   1.000000       1752034.       1728.025       9784.683       1834.164       1272.362       106.8788       6427.626      0.0000000E+00  0.0000000E+00  6.1165350E+08   106271.1      2.8686362E-04  2.8686362E-04  2.8686362E-04  2.8686362E-04  2.8686362E-04  0.0000000E+00   1.000003    
          67           3           8        1982 rtu0240         ru      aqu           1 rhg   1.000000       132033.9      0.0000000E+00  0.0000000E+00  0.0000000E+00   4846.741      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   1.000040    
          67           3           8        1982 rtu0250         ru      sdc          25 tot   1.000000      2.6791960E+07   76510.20       558567.0       86016.59       59392.33       1909.342       485219.0      0.0000000E+00  0.0000000E+00  4.2259825E+10   3661448.      6.2057399E-04  6.2057399E-04  6.2057399E-04  6.2057399E-04  6.2057399E-04  0.0000000E+00   1.000000    
          67           3           8        1982 rtu0250         ru      aqu           2 rhg   1.000000       7551348.      0.0000000E+00  0.0000000E+00  0.0000000E+00   168140.4      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   1.000001    
          67           3           8        1982 rtu0260         ru      sdc          26 tot   1.000000       5797188.       3498.219       37270.61       6033.877       13390.46       471.6629       30331.97      0.0000000E+00  0.0000000E+00  2.2635479E+09   795949.6      3.1180462E-04  3.1180462E-04  3.1180462E-04  3.1180462E-04  3.1180462E-04  0.0000000E+00   1.000001    
          67           3           8        1982 rtu0260         ru      aqu           2 rhg   1.000000       1635034.      0.0000000E+00  0.0000000E+00  0.0000000E+00   36453.37      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   1.000003    
          67           3           8        1982 rtu0270         ru      sdc          27 tot   1.000000      1.6736281E+07   7664.389       44419.88       8293.469       8098.742       1216.296       28784.75      0.0000000E+00  0.0000000E+00  2.6227832E+09   1064268.      6.2349130E-04  6.2349130E-04  6.2349130E-04  6.2349130E-04  6.2349130E-04  0.0000000E+00   1.000000    
          67           3           8        1982 rtu0270         ru      aqu           1 rhg   1.000000       1247923.      0.0000000E+00  0.0000000E+00  0.0000000E+00   45585.09      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   1.000004    
          67           3           8        1982 rtu0280         ru      sdc          28 tot   1.000000      1.5387553E+07   6335.977       36805.05       6868.436       7036.013       1125.695       23777.95      0.0000000E+00  0.0000000E+00  2.1532692E+09   978766.2      6.2351162E-04  6.2351162E-04  6.2351162E-04  6.2351162E-04  6.2351162E-04  0.0000000E+00   1.000000    
          67           3           8        1982 rtu0280         ru      aqu           1 rhg   1.000000       1146434.      0.0000000E+00  0.0000000E+00  0.0000000E+00   41880.87      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   1.000005    
          67           3           8        1982 rtu0290         ru      sdc          29 tot   1.000000       5362399.       2267.049       24441.71       3955.223       9577.334       455.8435       19960.01      0.0000000E+00  0.0000000E+00  1.4726049E+09   716363.6      6.2398170E-04  6.2398170E-04  6.2398170E-04  6.2398170E-04  6.2398170E-04  0.0000000E+00   1.000001    
          67           3           8        1982 rtu0290         ru      aqu           1 rhg   1.000000       1503770.      0.0000000E+00  0.0000000E+00  0.0000000E+00   33483.98      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   1.000004    
          67           3           8        1982 rtu0300         ru      sdc          30 tot   1.000000      1.6106631E+07   4876.831       28290.14       5279.873       5838.993       1201.350       18563.96      0.0000000E+00  0.0000000E+00  1.6710583E+09   994534.9      9.3497452E-04  9.3497452E-04  9.3497452E-04  9.3497452E-04  9.3497452E-04  0.0000000E+00   1.000000    
          67           3           8        1982 rtu0300         ru      aqu           1 rhg   1.000000       1195489.      0.0000000E+00  0.0000000E+00  0.0000000E+00   44066.66      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   1.000004    
          67           3           8        1982 rtu0310         ru      sdc          31 tot   1.000000       15530.32      0.9577662       3.841780      0.8794801       3.020916      0.6228867       3.073040      0.0000000E+00  0.0000000E+00   213042.2       690.5842      2.9710933E-04  2.9710933E-04  2.9710933E-04  2.9710933E-04  2.9710933E-04  0.0000000E+00   1.000341    
          67           3           8        1982 rtu0310         ru      aqu           8 rhg   1.000000       2793.080      0.0000000E+00  0.0000000E+00  0.0000000E+00   60.62272      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   1.001981    
          67           3           8        1982 rtu0320         ru      sdc          32 tot   1.000000      2.9976220E+07   25160.19       99862.36       21764.34       16662.94       2115.239       64706.22      0.0000000E+00  0.0000000E+00  5.6917862E+09   1711746.      3.1071081E-04  3.1071081E-04  3.1071081E-04  3.1071081E-04  3.1071081E-04  0.0000000E+00   1.000000    
