 Prueba3                   SWAT+ Jul 2 2024        MODULAR Rev 2024.61.0.1                                
   jday   mon   day    yr   unit  gis_id  name                     lai       bioms       yield     residue     sol_tmp       strsw       strsa     strstmp       strsn       strsp       strss        nplt       percn       pplnt         tmx         tmn       tmpav     solarad      wndspd        rhum     phubas0     lai_max      bm_max     bm_grow       c_gro
                                                             m**2/m**2        kgha        kgha        kgha        degc         ---         ---         ---         ---         ---         ---        kgha        kgha        kgha        degc        degc        degc      mj/m^2         m/s        frac        degc   m**2/m**2       kg/ha       kg/ha       kg/ha
    67     3     8  1982      51      51  hru051                 0.000       0.000       0.000     122.117      15.498       0.000       0.000       0.000       0.000       0.000       0.000       0.000      16.664       0.000      21.409      12.499      16.954       0.881       0.754       0.849       0.406       0.000       0.000       0.000       0.000
    67     3     8  1982      52      52  hru052                 0.000       0.000       0.000     122.144      15.497       0.000       0.000       0.000       0.000       0.000       0.000       0.000      16.619       0.000      21.409      12.499      16.954       0.881       0.754       0.849       0.406       0.000       0.000       0.000       0.000
    67     3     8  1982      53      53  hru053                 0.000       0.000       0.000     110.415      15.064       0.000       0.000       0.000       0.000       0.000       0.000       0.000      13.111       0.000      21.409      12.499      16.954       0.881       0.754       0.849       0.406       0.000       0.000       0.000       0.000
    67     3     8  1982      54      54  hru054                 0.000       0.000       0.000     110.315      15.065       0.000       0.000       0.000       0.000       0.000       0.000       0.000      13.091       0.000      21.409      12.499      16.954       0.881       0.754       0.849       0.406       0.000       0.000       0.000       0.000
    67     3     8  1982      55      55  hru055                 0.000       0.000       0.000     109.633      15.076       0.000       0.000       0.000       0.000       0.000       0.000       0.000      13.572       0.000      21.409      12.499      16.954       0.881       0.754       0.849       0.406       0.000       0.000       0.000       0.000
    67     3     8  1982      56      56  hru056                 0.000       0.000       0.000     109.470      15.078       0.000       0.000       0.000       0.000       0.000       0.000       0.000      13.770       0.000      21.409      12.499      16.954       0.881       0.754       0.849       0.406       0.000       0.000       0.000       0.000
    67     3     8  1982      57      57  hru057                 0.000       0.000       0.000     109.968      15.071       0.000       0.000       0.000       0.000       0.000       0.000       0.000      13.247       0.000      21.409      12.499      16.954       0.881       0.754       0.849       0.406       0.000       0.000       0.000       0.000
    67     3     8  1982      58      58  hru058                 0.000       0.000       0.000     109.615      15.076       0.000       0.000       0.000       0.000       0.000       0.000       0.000      13.567       0.000      21.409      12.499      16.954       0.881       0.754       0.849       0.406       0.000       0.000       0.000       0.000
    67     3     8  1982      59      59  hru059                 0.000       0.000       0.000     110.076      15.069       0.000       0.000       0.000       0.000       0.000       0.000       0.000      13.179       0.000      21.409      12.499      16.954       0.881       0.754       0.849       0.406       0.000       0.000       0.000       0.000
    67     3     8  1982      60      60  hru060                 0.000       0.000       0.000     109.949      15.071       0.000       0.000       0.000       0.000       0.000       0.000       0.000      13.274       0.000      21.409      12.499      16.954       0.881       0.754       0.849       0.406       0.000       0.000       0.000       0.000
    67     3     8  1982      61      61  hru061                 0.000       0.000       0.000     109.462      15.078       0.000       0.000       0.000       0.000       0.000       0.000       0.000      13.784       0.000      21.409      12.499      16.954       0.881       0.754       0.849       0.406       0.000       0.000       0.000       0.000
    67     3     8  1982      62      62  hru062                 0.000       0.000       0.000     109.631      15.076       0.000       0.000       0.000       0.000       0.000       0.000       0.000      13.585       0.000      21.409      12.499      16.954       0.881       0.754       0.849       0.406       0.000       0.000       0.000       0.000
    67     3     8  1982      63      63  hru063                 0.000       0.000       0.000     109.628      15.076       0.000       0.000       0.000       0.000       0.000       0.000       0.000      13.561       0.000      21.409      12.499      16.954       0.881       0.754       0.849       0.406       0.000       0.000       0.000       0.000
    67     3     8  1982      64      64  hru064                 0.000       0.000       0.000     110.013      15.070       0.000       0.000       0.000       0.000       0.000       0.000       0.000      13.206       0.000      21.409      12.499      16.954       0.881       0.754       0.849       0.406       0.000       0.000       0.000       0.000
    67     3     8  1982      65      65  hru065                 0.000       0.000       0.000     109.638      15.076       0.000       0.000       0.000       0.000       0.000       0.000       0.000      13.575       0.000      21.409      12.499      16.954       0.881       0.754       0.849       0.406       0.000       0.000       0.000       0.000
    67     3     8  1982      66      66  hru066                 0.000       0.000       0.000     110.243      15.067       0.000       0.000       0.000       0.000       0.000       0.000       0.000      13.149       0.000      21.409      12.499      16.954       0.881       0.754       0.849       0.406       0.000       0.000       0.000       0.000
    67     3     8  1982      67      67  hru067                 0.000       0.000       0.000     110.289      15.066       0.000       0.000       0.000       0.000       0.000       0.000       0.000      13.180       0.000      21.409      12.499      16.954       0.881       0.754       0.849       0.406       0.000       0.000       0.000       0.000
    67     3     8  1982      68      68  hru068                 0.000       0.000       0.000     110.324      15.065       0.000       0.000       0.000       0.000       0.000       0.000       0.000      13.181       0.000      21.409      12.499      16.954       0.881       0.754       0.849       0.406       0.000       0.000       0.000       0.000
    67     3     8  1982      69      69  hru069                 0.000       0.000       0.000     110.349      15.065       0.000       0.000       0.000       0.000       0.000       0.000       0.000      13.164       0.000      21.409      12.499      16.954       0.881       0.754       0.849       0.406       0.000       0.000       0.000       0.000
    67     3     8  1982      70      70  hru070                 0.000       0.000       0.000     110.423      15.064       0.000       0.000       0.000       0.000       0.000       0.000       0.000      13.187       0.000      21.409      12.499      16.954       0.881       0.754       0.849       0.406       0.000       0.000       0.000       0.000
    67     3     8  1982      71      71  hru071                 0.000       0.000       0.000     110.571      15.062       0.000       0.000       0.000       0.000       0.000       0.000       0.000      13.166       0.000      21.409      12.499      16.954       0.881       0.754       0.849       0.406       0.000       0.000       0.000       0.000
    67     3     8  1982      72      72  hru072                 0.000       0.000       0.000     110.584      15.062       0.000       0.000       0.000       0.000       0.000       0.000       0.000      13.185       0.000      21.409      12.499      16.954       0.881       0.754       0.849       0.406       0.000       0.000       0.000       0.000
    67     3     8  1982      73      73  hru073                 0.000       0.000       0.000     110.472      15.064       0.000       0.000       0.000       0.000       0.000       0.000       0.000      13.193       0.000      21.409      12.499      16.954       0.881       0.754       0.849       0.406       0.000       0.000       0.000       0.000
    67     3     8  1982      74      74  hru074                 0.000       0.000       0.000     110.483      15.064       0.000       0.000       0.000       0.000       0.000       0.000       0.000      13.229       0.000      21.409      12.499      16.954       0.881       0.754       0.849       0.406       0.000       0.000       0.000       0.000
    67     3     8  1982      75      75  hru075                 0.000       0.000       0.000     109.660      15.075       0.000       0.000       0.000       0.000       0.000       0.000       0.000      13.582       0.000      21.409      12.499      16.954       0.881       0.754       0.849       0.406       0.000       0.000       0.000       0.000
    67     3     8  1982      76      76  hru076                 0.000       0.000       0.000     110.249      15.067       0.000       0.000       0.000       0.000       0.000       0.000       0.000      13.185       0.000      21.409      12.499      16.954       0.881       0.754       0.849       0.406       0.000       0.000       0.000       0.000
    67     3     8  1982      77      77  hru077                 0.000       0.000       0.000      72.974      14.969       0.000       0.000       0.000       0.000       0.000       0.000       0.000      12.605       0.000      21.409      12.499      16.954       0.881       0.754       0.849       0.406       0.000       0.000       0.000       0.000
    67     3     8  1982      78      78  hru078                 0.000       0.000       0.000     110.265      15.066       0.000       0.000       0.000       0.000       0.000       0.000       0.000      13.185       0.000      21.409      12.499      16.954       0.881       0.754       0.849       0.406       0.000       0.000       0.000       0.000
    67     3     8  1982      79      79  hru079                 0.000       0.000       0.000     110.586      15.062       0.000       0.000       0.000       0.000       0.000       0.000       0.000      13.237       0.000      21.409      12.499      16.954       0.881       0.754       0.849       0.406       0.000       0.000       0.000       0.000
    67     3     8  1982      80      80  hru080                 0.000       0.000       0.000      76.488      14.966       0.000       0.000       0.000       0.000       0.000       0.000       0.000      12.235       0.000      21.409      12.499      16.954       0.881       0.754       0.849       0.406       0.000       0.000       0.000       0.000
    67     3     8  1982      81      81  hru081                 0.000       0.000       0.000      73.570      14.968       0.000       0.000       0.000       0.000       0.000       0.000       0.000      12.549       0.000      21.409      12.499      16.954       0.881       0.754       0.849       0.406       0.000       0.000       0.000       0.000
    67     3     8  1982      82      82  hru082                 0.000       0.000       0.000     110.257      15.066       0.000       0.000       0.000       0.000       0.000       0.000       0.000      13.116       0.000      21.409      12.499      16.954       0.881       0.754       0.849       0.406       0.000       0.000       0.000       0.000
    67     3     8  1982      83      83  hru083                 0.000       0.000       0.000     110.162      15.068       0.000       0.000       0.000       0.000       0.000       0.000       0.000      13.104       0.000      21.409      12.499      16.954       0.881       0.754       0.849       0.406       0.000       0.000       0.000       0.000
    67     3     8  1982      84      84  hru084                 0.000       0.000       0.000     106.872      15.067       0.000       0.000       0.000       0.000       0.000       0.000       0.000       4.704       0.000      21.409      12.499      16.954       0.881       0.754       0.849       0.406       0.000       0.000       0.000       0.000
    67     3     8  1982      85      85  hru085                 0.000       0.000       0.000     109.688      15.068       0.000       0.000       0.000       0.000       0.000       0.000       0.000       4.295       0.000      21.409      12.499      16.954       0.881       0.754       0.849       0.406       0.000       0.000       0.000       0.000
    67     3     8  1982      86      86  hru086                 0.000       0.000       0.000     108.744      15.068       0.000       0.000       0.000       0.000       0.000       0.000       0.000       4.397       0.000      21.409      12.499      16.954       0.881       0.754       0.849       0.406       0.000       0.000       0.000       0.000
    67     3     8  1982      87      87  hru087                 0.000       0.000       0.000     108.444      15.068       0.000       0.000       0.000       0.000       0.000       0.000       0.000       4.432       0.000      21.409      12.499      16.954       0.881       0.754       0.849       0.406       0.000       0.000       0.000       0.000
    67     3     8  1982      88      88  hru088                 0.000       0.000       0.000     110.370      15.065       0.000       0.000       0.000       0.000       0.000       0.000       0.000      13.098       0.000      21.409      12.499      16.954       0.881       0.754       0.849       0.406       0.000       0.000       0.000       0.000
    67     3     8  1982      89      89  hru089                 0.000       0.000       0.000     110.266      15.066       0.000       0.000       0.000       0.000       0.000       0.000       0.000      13.109       0.000      21.409      12.499      16.954       0.881       0.754       0.849       0.406       0.000       0.000       0.000       0.000
    67     3     8  1982      90      90  hru090                 0.000       0.000       0.000     110.107      15.069       0.000       0.000       0.000       0.000       0.000       0.000       0.000      13.158       0.000      21.409      12.499      16.954       0.881       0.754       0.849       0.406       0.000       0.000       0.000       0.000
