 Prueba3                   SWAT+ Jul 2 2024        MODULAR Rev 2024.61.0.1                                
   jday   mon   day    yr   unit  gis_id  name                 sedyld     sedorgn     sedorgp     surqno3     lat3no3    surqsolp        usle     sedminp     tileno3     lchlabp    tilelabp      satexn
                                                                  tha        kgha        kgha        kgha        kgha        kgha        tons        kgha        kgha        kgha        kgha        kgha
     67     3     8  1982    121       0  rtu1210               20.707      65.834       7.382       0.110       3.575       0.262       0.000       3.922       0.000       0.067       0.000       0.000
     67     3     8  1982    122       0  rtu1220               50.949     118.111      13.245       0.093       4.134       0.130       0.000       5.261       0.000       0.067       0.000       0.000
     67     3     8  1982    123       0  rtu1230               45.330     112.801      12.649       0.094       3.744       0.139       0.000       5.223       0.000       0.067       0.000       0.000
     67     3     8  1982    124       0  rtu1240               20.524      66.281       7.432       0.109       3.139       0.258       0.000       3.874       0.000       0.067       0.000       0.000
     67     3     8  1982    125       0  rtu1250                9.567      32.586       3.654       0.120       3.679       0.355       0.000       2.006       0.000       0.067       0.000       0.000
     67     3     8  1982    126       0  rtu1260                1.476       7.687       0.862       0.126       2.224       0.423       0.000       0.607       0.000       0.067       0.000       0.000
     67     3     8  1982    127       0  rtu1270               12.898      46.107       5.170       0.114       1.987       0.315       0.000       2.962       0.000       0.067       0.000       0.000
     67     3     8  1982    128       0  rtu1280               10.376      27.933       3.011       0.108       0.979       0.343       0.000       2.464       0.000       0.191       0.000       0.000
     67     3     8  1982    129       0  rtu1290               16.779      42.112       4.538       0.102       1.525       0.287       0.000       3.397       0.000       0.219       0.000       0.000
     67     3     8  1982    130       0  rtu1300                7.479      26.377       2.975       0.130       1.121       0.396       0.000       1.450       0.000       0.237       0.000       0.000
     67     3     8  1982    131       0  rtu1310                1.580       9.195       1.037       0.113       1.780       0.363       0.000       0.679       0.000       0.300       0.000       0.000
     67     3     8  1982    132       0  rtu1320               16.485      53.760       6.028       0.112       1.893       0.297       0.000       3.266       0.000       0.067       0.000       0.000
     67     3     8  1982    133       0  rtu1330                1.221       7.112       0.802       0.115       1.474       0.369       0.000       0.524       0.000       0.301       0.000       0.000
     67     3     8  1982    134       0  rtu1340                1.666       8.682       0.973       0.126       2.505       0.420       0.000       0.685       0.000       0.067       0.000       0.000
     67     3     8  1982    135       0  rtu1350               25.863      69.583       7.803       0.108       3.372       0.254       0.000       3.449       0.000       0.067       0.000       0.000
