 Prueba3                   SWAT+ Jul 2 2024        MODULAR Rev 2024.61.0.1                                
   jday   mon   day    yr   unit  gis_id  name                     lai       bioms       yield     residue     sol_tmp       strsw       strsa     strstmp       strsn       strsp       strss        nplt       percn       pplnt         tmx         tmn       tmpav     solarad      wndspd        rhum     phubas0     lai_max      bm_max     bm_grow       c_gro
                                                             m**2/m**2        kgha        kgha        kgha        degc         ---         ---         ---         ---         ---         ---        kgha        kgha        kgha        degc        degc        degc      mj/m^2         m/s        frac        degc   m**2/m**2       kg/ha       kg/ha       kg/ha
     67     3     8  1982     65       0  rtu0650                0.000       0.000       0.000     109.655      15.075       0.000       0.000       0.000       0.000       0.000       0.000       0.000      71.812       0.000      21.409      12.499      16.954       0.881       0.754       0.849       0.406       0.000       0.000       0.000       0.000
     67     3     8  1982     66       0  rtu0660                0.000       0.000       0.000     110.230      15.067       0.000       0.000       0.000       0.000       0.000       0.000       0.000      69.362       0.000      21.409      12.499      16.954       0.881       0.754       0.849       0.406       0.000       0.000       0.000       0.000
     67     3     8  1982     67       0  rtu0670                0.000       0.000       0.000      72.974      14.969       0.000       0.000       0.000       0.000       0.000       0.000       0.000      66.676       0.000      21.409      12.499      16.954       0.881       0.754       0.849       0.406       0.000       0.000       0.000       0.000
     67     3     8  1982     68       0  rtu0680                0.000       0.000       0.000     109.786      15.073       0.000       0.000       0.000       0.000       0.000       0.000       0.000      71.050       0.000      21.409      12.499      16.954       0.881       0.754       0.849       0.406       0.000       0.000       0.000       0.000
     67     3     8  1982     69       0  rtu0690                0.000       0.000       0.000     110.150      15.068       0.000       0.000       0.000       0.000       0.000       0.000       0.000      70.097       0.000      21.409      12.499      16.954       0.881       0.754       0.849       0.406       0.000       0.000       0.000       0.000
     67     3     8  1982     70       0  rtu0700                0.000       0.000       0.000     110.379      15.065       0.000       0.000       0.000       0.000       0.000       0.000       0.000      70.280       0.000      21.409      12.499      16.954       0.881       0.754       0.849       0.406       0.000       0.000       0.000       0.000
     67     3     8  1982     71       0  rtu0710                0.000       0.000       0.000     110.686      15.061       0.000       0.000       0.000       0.000       0.000       0.000       0.000      70.128       0.000      21.409      12.499      16.954       0.881       0.754       0.849       0.406       0.000       0.000       0.000       0.000
     67     3     8  1982     72       0  rtu0720                0.000       0.000       0.000     110.737      15.061       0.000       0.000       0.000       0.000       0.000       0.000       0.000      70.115       0.000      21.409      12.499      16.954       0.881       0.754       0.849       0.406       0.000       0.000       0.000       0.000
     67     3     8  1982     73       0  rtu0730                0.000       0.000       0.000     110.321      15.066       0.000       0.000       0.000       0.000       0.000       0.000       0.000      70.972       0.000      21.409      12.499      16.954       0.881       0.754       0.849       0.406       0.000       0.000       0.000       0.000
     67     3     8  1982     74       0  rtu0740                0.000       0.000       0.000     109.942      15.070       0.000       0.000       0.000       0.000       0.000       0.000       0.000      71.613       0.000      21.409      12.499      16.954       0.881       0.754       0.849       0.406       0.000       0.000       0.000       0.000
     67     3     8  1982     75       0  rtu0750                0.000       0.000       0.000     110.473      15.064       0.000       0.000       0.000       0.000       0.000       0.000       0.000      70.016       0.000      21.409      12.499      16.954       0.881       0.754       0.849       0.406       0.000       0.000       0.000       0.000
     67     3     8  1982     76       0  rtu0760                0.000       0.000       0.000     110.605      15.062       0.000       0.000       0.000       0.000       0.000       0.000       0.000      69.994       0.000      21.409      12.499      16.954       0.881       0.754       0.849       0.406       0.000       0.000       0.000       0.000
     67     3     8  1982     77       0  rtu0770                0.000       0.000       0.000     110.539      15.063       0.000       0.000       0.000       0.000       0.000       0.000       0.000      70.067       0.000      21.409      12.499      16.954       0.881       0.754       0.849       0.406       0.000       0.000       0.000       0.000
