ID,NAME,LAT,LONG,ELEVATION
431,431_PCP,36.895,-5.002,711
432,432_PCP,36.895,-4.939,613
433,433_PCP,36.894,-4.877,541
434,434_PCP,36.894,-4.814,474
435,435_PCP,36.893,-4.752,430
436,436_PCP,36.892,-4.69,463
437,437_PCP,36.891,-4.627,543
438,438_PCP,36.891,-4.565,579
439,439_PCP,36.89,-4.503,592
440,440_PCP,36.889,-4.44,672
441,441_PCP,36.888,-4.378,752
442,442_PCP,36.887,-4.315,665
443,443_PCP,36.886,-4.253,437
444,444_PCP,36.885,-4.191,314
445,445_PCP,36.884,-4.128,486
446,446_PCP,36.883,-4.066,844
447,447_PCP,36.882,-4.003,1114
448,448_PCP,36.881,-3.941,1189
449,449_PCP,36.88,-3.879,1190
450,450_PCP,36.878,-3.816,1216
451,451_PCP,36.877,-3.754,1207
452,452_PCP,36.876,-3.692,1073
453,453_PCP,36.874,-3.629,835
454,454_PCP,36.873,-3.567,629
455,455_PCP,36.872,-3.505,588
456,456_PCP,36.87,-3.442,706
457,457_PCP,36.869,-3.38,846
458,458_PCP,36.867,-3.318,919
459,459_PCP,36.866,-3.255,960
460,460_PCP,36.864,-3.193,995
461,461_PCP,36.863,-3.131,921
462,462_PCP,36.861,-3.068,681
463,463_PCP,36.859,-3.006,495
464,464_PCP,36.858,-2.944,667
465,465_PCP,36.856,-2.881,1087
466,466_PCP,36.854,-2.819,1303
467,467_PCP,36.852,-2.757,1107
468,468_PCP,36.85,-2.694,771
469,469_PCP,36.849,-2.632,570
470,470_PCP,36.846,-2.57,453
471,471_PCP,36.845,-2.507,272
472,472_PCP,36.843,-2.445,75
473,473_PCP,36.841,-2.383,19
474,474_PCP,36.839,-2.32,21
475,475_PCP,36.836,-2.258,13
476,476_PCP,36.834,-2.196,84
477,477_PCP,36.832,-2.134,159
478,478_PCP,36.83,-2.071,158
479,479_PCP,36.949,-6.437,6
480,480_PCP,36.949,-6.375,6
481,481_PCP,36.95,-6.312,3
482,482_PCP,36.95,-6.25,1
483,483_PCP,36.95,-6.187,3
484,484_PCP,36.95,-6.125,8
485,485_PCP,36.95,-6.062,9
486,486_PCP,36.95,-6,9
487,487_PCP,36.95,-5.938,29
488,488_PCP,36.95,-5.875,73
489,489_PCP,36.95,-5.813,115
490,490_PCP,36.95,-5.75,127
491,491_PCP,36.95,-5.688,124
492,492_PCP,36.949,-5.625,148
493,493_PCP,36.949,-5.563,217
494,494_PCP,36.949,-5.5,298
495,495_PCP,36.949,-5.438,354
496,496_PCP,36.948,-5.376,378
497,497_PCP,36.948,-5.313,417
498,498_PCP,36.947,-5.251,512
499,499_PCP,36.947,-5.188,636
500,500_PCP,36.947,-5.126,716
501,501_PCP,36.946,-5.063,712
502,502_PCP,36.946,-5.001,636
503,503_PCP,36.945,-4.938,531
504,504_PCP,36.944,-4.876,453
505,505_PCP,36.944,-4.814,433
506,506_PCP,36.943,-4.751,477
507,507_PCP,36.942,-4.689,574
508,508_PCP,36.941,-4.626,681
509,509_PCP,36.941,-4.564,734
510,510_PCP,36.94,-4.501,740
511,511_PCP,36.939,-4.439,774
512,512_PCP,36.938,-4.377,823
513,513_PCP,36.937,-4.314,792
514,514_PCP,36.936,-4.252,672
515,515_PCP,36.935,-4.189,615
516,516_PCP,36.934,-4.127,769
517,517_PCP,36.933,-4.064,1053
518,518_PCP,36.932,-4.002,1226
519,519_PCP,36.931,-3.94,1190
520,520_PCP,36.929,-3.877,1109
521,521_PCP,36.928,-3.815,1158
522,522_PCP,36.927,-3.752,1252
523,523_PCP,36.926,-3.69,1169
524,524_PCP,36.925,-3.628,916
525,525_PCP,36.923,-3.565,766
526,526_PCP,36.922,-3.503,854
527,527_PCP,36.92,-3.44,1012
528,528_PCP,36.919,-3.378,1073
529,529_PCP,36.917,-3.316,1079
530,530_PCP,36.916,-3.253,1097
531,531_PCP,36.914,-3.191,1063
532,532_PCP,36.913,-3.128,874
533,533_PCP,36.911,-3.066,598
534,534_PCP,36.909,-3.004,531
535,535_PCP,36.907,-2.941,880
536,536_PCP,36.906,-2.879,1399
537,537_PCP,36.904,-2.817,1614
538,538_PCP,36.902,-2.754,1422
539,539_PCP,36.9,-2.692,1122
540,540_PCP,36.898,-2.63,902
541,541_PCP,36.897,-2.567,660
542,542_PCP,36.895,-2.505,362
543,543_PCP,36.892,-2.442,168
544,544_PCP,36.891,-2.38,159
545,545_PCP,36.888,-2.318,197
546,546_PCP,36.886,-2.255,161
547,547_PCP,36.884,-2.193,122
548,548_PCP,36.882,-2.131,155
549,549_PCP,36.88,-2.068,177
550,550_PCP,36.999,-6.562,14
551,551_PCP,36.999,-6.5,16
552,552_PCP,36.999,-6.437,11
553,553_PCP,36.999,-6.375,6
554,554_PCP,37,-6.312,5
555,555_PCP,37,-6.25,5
556,556_PCP,37,-6.187,5
557,557_PCP,37,-6.125,6
