Año;Día;Ene;Feb;Mar;Abr;May;Jun;Jul;Ago;Set;Oct;Nov;Dic
1992;10;0;0;0;1.5;0;0;0;0;0;0;0;0
1992;11;0;0;0;6.3;0;0;0;0;0;0;0;0
1992;12;0;0;0;107.1;0;0;0;0;0;0;0;0
1992;13;0;0;80.2;0;0;0;0;0;0;0;0;0
1992;14;0;0;1.1;1.2;0;0;0;0;0;0;0;0
1992;15;0;0;26.2;0;0;0;0;0;0;0;0;0
1992;16;0;0.3;5;2.6;0;0;0;0;0;0;0;0
1992;17;0;0;0.2;1.8;0;0;0;0;0;0;0;0
1992;18;0;0;0;2.7;0;0;0;0;0;0;0;0
1992;19;0;0;0.2;0;0;0;0;0;0;0;0;0
1992;20;0;0;0;0;0;0;0;0;0;0;0;0
1992;21;0;0;0;0;0;0;0;0;0;0;0;0
1992;22;0;0;0;0;0;0;0;0;0;0;0;0
1992;23;0;0;0;0;0;0;0;0;0;0;0;0
1992;24;0;0;0;0;0;0;0;0;0;0;0;0
1992;25;0;0;0;0;0;0;0;0;0;0;0;0
1992;26;0;4.2;0;0;0;0;0;0;0;0;0;0
1992;27;0;0.7;8;0;0;0;0;0;0;0;0;0
1992;28;0;2.2;0;0;0;0;0;0;0;0;0;0
1992;29;0;0;0;0;0;0;0;0;0;0;0;0
1992;30;2.9;;62.8;0;0.1;0.4;0;0;0;0;0;0
1992;31;0;;0;;0;;0;0;;0;;0
1993;1;0;;;;;;;;;;;
1993;2;0;;;;;;;;;;;
1993;3;0;;;;;;;;;;;
1993;4;0;;;;;;;;;;;
1993;5;0;;;;;;;;;;;
1993;6;0;;;;;;;;;;;
1993;7;0;;;;;;;;;;;
1993;8;0;;;;;;;;;;;
1993;9;0;;;;;;;;;;;
1993;10;0;;;;;;;;;;;
1993;11;0;;;;;;;;;;;
1993;12;0;;;;;;;;;;;
1993;13;0;;;;;;;;;;;
1993;14;0;;;;;;;;;;;
1993;15;0;;;;;;;;;;;
1993;16;0;;;;;;;;;;;
1993;17;0;;;;;;;;;;;
1993;18;0;;;;;;;;;;;
1993;19;0;;;;;;;;;;;
1993;20;0;;;;;;;;;;;
1993;21;0;;;;;;;;;;;
1993;22;0;;;;;;;;;;;
1993;23;0;;;;;;;;;;;
1993;24;0;;;;;;;;;;;
1993;25;0;;;;;;;;;;;
1993;26;0;;;;;;;;;;;
1993;27;0;;;;;;;;;;;
1993;28;0;;;;;;;;;;;
1993;29;0;;;;;;;;;;;
1993;30;0;;;;;;;;;;;
1993;31;;;;;;;;;;;;0
1994;1;;;;;;;;;;;;
1994;2;;;;;;;;;;;;
1994;3;;;;;;;;;;;;
1994;4;;;;;;;;;;;;
1994;5;;;;;;;;;;;;
1994;6;;;;;;;;;;;;
1994;7;;;;;;;;;;;;
1994;8;;;;;;;;;;;;
1994;9;;;;;;;;;;;;
1994;10;;;;;;;;;;;;
1994;11;;;;;;;;;;;;
1994;12;;;;;;;;;;;;
1994;13;;;;;;;;;;;;
1994;14;;;;;;;;;;;;
1994;15;;;;;;;;;;;;
1994;16;;;;;;;;;;;;
1994;17;;;;;;;;;;;;
1994;18;;;;;;;;;;;;
1994;19;;;;;;;;;;;;
1994;20;;;;;;;;;;;;
1994;21;;;;;;;;;;;;
1994;22;;;;;;;;;;;;
1994;23;;;;;;;;;;;;
1994;24;;;;;;;;;;;;
1994;25;;;;;;;;;;;;
1994;26;;;;;;;;;;;;
1994;27;;;;;;;;;;;;
1994;28;;;;;;;;;;;;
1994;29;;;;;;;;;;;;
1994;30;;;;;;;;;;;;
1994;31;;;;;;;;;;;;
1995;1;0;0.1;0;0;0;0;0;0;0;0;0;0
1995;2;0;1.9;0;0;0;0;0;0;0;0;0;0
1995;3;0;0;0;0;0;0;0;0;0;0;0;0
1995;4;0;0;0;0;0;0;0;0;0;0;0;0
1995;5;0;0.8;0;0;0;0;0;0;0;0;0;0
1995;6;0;0;0;0.2;0;0;0;0;0;0;0;0
1995;7;0;0;0;0.9;0;0;0;0;0;0;0;0
1995;8;0;0;0;0;0;0;0;0;0;0;0;0
1995;9;0;0;0;0;0;0;0;0;0.3;0;0;0
1995;10;0;0;0;0;0;0;0;0;0;0;0;0
1995;11;0;0;0;0;0;0;0;0;0;0;0;0
1995;12;0;0;0;0;0;0;0;0;0.1;0;0;0
1995;13;0;0;0;0;0;0;0;0;0.7;0;0;0
1995;14;0;0;0;0;0;0;0;0;0;0;0;0
1995;15;0;0;0;0;0;0;0;0;0;0;0;0
1995;16;0;0;0;0;0;0;0.1;0;0;0;0;0
1995;17;0;0;0;0;0;0;0;0;0;0.3;0;0
1995;18;0;0;0;0;0;0;0;0;0;0;0;0
1995;19;0;0.3;0;0;0;0;0;0;0;0;0;0
1995;20;0;0;0;0;0;0;0;0;0;0;0.7;0
